Unnamed: 0,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
16968,Mainstay Tavern,"Mainstay Tavern, Clearwater, FL 33767",0x88c2f730debd585f:0xeb36db3a693c980f,,27.956012,-82.829346,['Restaurant'],3.5,14,,"[array(['Wednesday', '4–11PM'], dtype=object)
 array(['Thursday', '4–11PM'], dtype=object)
 array(['Friday', '12–11PM'], dtype=object)
 array(['Saturday', '12–11PM'], dtype=object)
 array(['Sunday', '12:30–11PM'], dtype=object)
 array(['Monday', '12–11PM'], dtype=object)
 array(['Tuesday', '4–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Great beer selection', 'Great cocktails'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food',
       'Hard liquor', 'Quick bite', 'Small plates', 'Wine'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Takeout', 'Dine-in', 'Delivery'], dtype=object)}",Closed ⋅ Opens 4PM,"['0x88c2f730ddce0653:0xb28477eceda35923'
 '0x88c2f7379fb7ad79:0xeca360929c68a519'
 '0x88c2f736dc1d538f:0x56afa980e7211086'
 '0x88c2f73701559e11:0x90db8a1f8349886d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2f730debd585f:0xeb36db3a693c980f?authuser=-1&hl=en&gl=us
24116,Edible Arrangements,"Edible Arrangements, 14535 S Military Trail, Delray Beach, FL 33484",0x88d92023dcdc9d4b:0xbca508bb3abc0a87,Chain selling clever arrangements & gift baskets made up of gourmet fresh & chocolate-dipped fruit.,26.460622,-80.124503,"['Gift shop' 'Caterer' 'Chocolate shop' 'Dessert shop' 'Florist'
 'Gift basket store' 'Juice shop']",4.2,38,,"[array(['Tuesday', '9AM–5PM'], dtype=object)
 array(['Wednesday', '9AM–5PM'], dtype=object)
 array(['Thursday', '9AM–5PM'], dtype=object)
 array(['Friday', '9AM–5PM'], dtype=object)
 array(['Saturday', '9AM–5PM'], dtype=object)
 array(['Sunday', '10AM–3PM'], dtype=object)
 array(['Monday', '9AM–5PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': None, 'Payments': array(['Debit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'In-store pickup',
       'In-store shopping', 'Same-day delivery'], dtype=object)}",Closed ⋅ Opens 9AM Wed,"['0x88d91fd31b75ddc3:0xb8b93affa70f0689'
 '0x88d8e1ff3f235ab9:0xb6983c4ab3853f7f'
 '0x88d8df4bdb1bf46b:0x755554055de4c9'
 '0x88d91e1eaaaaaaab:0xdd4cdbe2a67e4f64']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d92023dcdc9d4b:0xbca508bb3abc0a87?authuser=-1&hl=en&gl=us
43541,Mainstay Tavern,"Mainstay Tavern, Clearwater, FL 33767",0x88c2f730debd585f:0xeb36db3a693c980f,,27.956012,-82.829346,['Restaurant'],3.5,14,,"[array(['Wednesday', '4–11PM'], dtype=object)
 array(['Thursday', '4–11PM'], dtype=object)
 array(['Friday', '12–11PM'], dtype=object)
 array(['Saturday', '12–11PM'], dtype=object)
 array(['Sunday', '12:30–11PM'], dtype=object)
 array(['Monday', '12–11PM'], dtype=object)
 array(['Tuesday', '4–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Great beer selection', 'Great cocktails'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food',
       'Hard liquor', 'Quick bite', 'Small plates', 'Wine'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Takeout', 'Dine-in', 'Delivery'], dtype=object)}",Closed ⋅ Opens 4PM,"['0x88c2f730ddce0653:0xb28477eceda35923'
 '0x88c2f7379fb7ad79:0xeca360929c68a519'
 '0x88c2f736dc1d538f:0x56afa980e7211086'
 '0x88c2f73701559e11:0x90db8a1f8349886d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2f730debd585f:0xeb36db3a693c980f?authuser=-1&hl=en&gl=us
50689,Edible Arrangements,"Edible Arrangements, 14535 S Military Trail, Delray Beach, FL 33484",0x88d92023dcdc9d4b:0xbca508bb3abc0a87,Chain selling clever arrangements & gift baskets made up of gourmet fresh & chocolate-dipped fruit.,26.460622,-80.124503,"['Gift shop' 'Caterer' 'Chocolate shop' 'Dessert shop' 'Florist'
 'Gift basket store' 'Juice shop']",4.2,38,,"[array(['Tuesday', '9AM–5PM'], dtype=object)
 array(['Wednesday', '9AM–5PM'], dtype=object)
 array(['Thursday', '9AM–5PM'], dtype=object)
 array(['Friday', '9AM–5PM'], dtype=object)
 array(['Saturday', '9AM–5PM'], dtype=object)
 array(['Sunday', '10AM–3PM'], dtype=object)
 array(['Monday', '9AM–5PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': None, 'Payments': array(['Debit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'In-store pickup',
       'In-store shopping', 'Same-day delivery'], dtype=object)}",Closed ⋅ Opens 9AM Wed,"['0x88d91fd31b75ddc3:0xb8b93affa70f0689'
 '0x88d8e1ff3f235ab9:0xb6983c4ab3853f7f'
 '0x88d8df4bdb1bf46b:0x755554055de4c9'
 '0x88d91e1eaaaaaaab:0xdd4cdbe2a67e4f64']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d92023dcdc9d4b:0xbca508bb3abc0a87?authuser=-1&hl=en&gl=us
90883,Del Frisco's Grille,"Del Frisco's Grille, 340 Royal Poinciana Way #300, Palm Beach, FL 33480",0x88d8d69ac8872eed:0x27b6361453f3fee4,"Sophisticated chophouse chain serving steak, seafood, sandwiches & cocktails in a trendy space.",26.717357,-80.041597,['American restaurant' 'Bar' 'Seafood restaurant' 'Steak house'],5.0,8,,"[array(['Monday', '5–9PM'], dtype=object)
 array(['Tuesday', '5–9PM'], dtype=object)
 array(['Wednesday', '5–9PM'], dtype=object)
 array(['Thursday', '5–9PM'], dtype=object)
 array(['Friday', '5–11PM'], dtype=object)
 array(['Saturday', '5–11PM'], dtype=object)
 array(['Sunday', '5–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible seating'], dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite'], dtype=object), 'Atmosphere': array(['Upscale'], dtype=object), 'Crowd': array(['Groups'], dtype=object), 'Dining options': array(['Lunch', 'Dinner'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Great dessert'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Coffee', 'Healthy options', 'Vegetarian options'],
      dtype=object), 'Payments': None, 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",Permanently closed,"['0x88d8d69099677c8f:0x627b734297eb3794'
 '0x88d8d689bc55fcdf:0xe30aa0d7ad5245fa'
 '0x88d8d9d8de89e413:0x694c67dbeb510161'
 '0x88d8d69aa437d505:0x637235165f12f251']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d69ac8872eed:0x27b6361453f3fee4?authuser=-1&hl=en&gl=us
175421,Sakura Japanese Restaurant,"Sakura Japanese Restaurant, 2785 NW 49th Ave, Ocala, FL 34482",0x88e62a97192e9417:0x28182fedc6f763b0,,29.21606,-82.200803,['Japanese restaurant'],5.0,3,,"[array(['Wednesday', '11AM–10PM'], dtype=object)
 array(['Thursday', '11AM–10PM'], dtype=object)
 array(['Friday', '11AM–10:30PM'], dtype=object)
 array(['Saturday', '12–10PM'], dtype=object)
 array(['Sunday', '4–10PM'], dtype=object)
 array(['Monday', '11AM–10PM'], dtype=object)
 array(['Tuesday', '11AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible seating'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual', 'Quiet'], dtype=object), 'Crowd': None, 'Dining options': array(['Lunch', 'Dinner'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Healthy options', 'Vegetarian options'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",Permanently closed,"['0x88e62d2761c0506f:0x4affe51313a6426d'
 '0x88e62a97192e9723:0xf785d63ae35fc04d'
 '0x88e7d57cea5cd195:0x8162802314ec1461']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e62a97192e9417:0x28182fedc6f763b0?authuser=-1&hl=en&gl=us
182218,The Saint,"The Saint, 49 24th St N, St. Petersburg, FL 33713",0x88c2e3f3542de453:0xf2c89170626afda8,,27.771392,-82.665693,['Bar'],3.7,15,,"[array(['Wednesday', '5PM–12AM'], dtype=object)
 array(['Thursday', '5PM–12AM'], dtype=object)
 array(['Friday', '5PM–2AM'], dtype=object)
 array(['Saturday', '5PM–2AM'], dtype=object)
 array(['Sunday', '5PM–12AM'], dtype=object)
 array(['Monday', 'Closed'], dtype=object)
 array(['Tuesday', '5PM–12AM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Restroom'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Fast service'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Dine-in', 'Delivery'], dtype=object)}",Closed ⋅ Opens 5PM,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2e3f3542de453:0xf2c89170626afda8?authuser=-1&hl=en&gl=us
199907,Fat Tuesday,"Fat Tuesday, 3015 Grand Ave #260, Miami, FL 33133",0x88d9b7cf7625235f:0xe79477006a63cadf,Outpost of a New Orleans-inspired chain offering loads of frozen drinks in a counter-serve setting.,25.728739,-80.241956,['Bar' 'Ice cream shop' 'Night club'],3.8,34,,"[array(['Tuesday', '11AM–1AM'], dtype=object)
 array(['Wednesday', '11AM–1AM'], dtype=object)
 array(['Thursday', '11AM–3AM'], dtype=object)
 array(['Friday', '11AM–3AM'], dtype=object)
 array(['Saturday', '11AM–3AM'], dtype=object)
 array(['Sunday', '11AM–1AM'], dtype=object)
 array(['Monday', '11AM–1AM'], dtype=object)]","{'Accessibility': None, 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Alcohol'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",Permanently closed,"['0x88d9b7c9ea1c1a47:0xb9483710e31c6e59'
 '0x88d9b7cf8762c66f:0x58206d5240961683'
 '0x88d9b3cd6eed95b3:0x77ac49a1b7ad925b'
 '0x88d9b708c051590b:0x909e8c5c42e95a49']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b7cf7625235f:0xe79477006a63cadf?authuser=-1&hl=en&gl=us
203670,Edible Arrangements,"Edible Arrangements, 2711 Forest Rd, Spring Hill, FL 34606",0x88c29fddf5b86b93:0x944ee92e115d5ac3,Chain selling clever arrangements & gift baskets made up of gourmet fresh & chocolate-dipped fruit.,28.472887,-82.614918,"['Gift shop' 'Caterer' 'Chocolate shop' 'Dessert shop' 'Florist'
 'Gift basket store' 'Juice shop']",3.8,38,,"[array(['Tuesday', '9AM–5PM'], dtype=object)
 array(['Wednesday', '9AM–7PM'], dtype=object)
 array(['Thursday', '9AM–7PM'], dtype=object)
 array(['Friday', '9AM–7PM'], dtype=object)
 array(['Saturday', '9AM–5PM'], dtype=object)
 array(['Sunday', '10AM–3PM'], dtype=object)
 array(['Monday', '9AM–7PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': None, 'Payments': None, 'Planning': array(['Quick visit'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'In-store pickup',
       'In-store shopping', 'Same-day delivery'], dtype=object)}",Closed ⋅ Opens 9AM,"['0x88e8209d2e22bc15:0xf7af180a977240c1'
 '0x88c29fbff6251543:0x55aabd3ad66b2f7b'
 '0x88c29aa1d1937b3f:0x7388becf52c3f493'
 '0x88e81feb2bc44801:0x3f2fd1facefb30fd'
 '0x88c29e7ca9cb69b1:0x4659c5da597aee70']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c29fddf5b86b93:0x944ee92e115d5ac3?authuser=-1&hl=en&gl=us
208364,Encore,"Encore, 9090 S Dadeland Blvd, Miami, FL 33156",0x88d9c728e83932b7:0xf906f769db42b3c,,25.685812,-80.313762,"['Event technology service' 'Audio visual consultant'
 'Event management company']",5.0,1,,"[array(['Tuesday', '9AM–5PM'], dtype=object)
 array(['Wednesday', '9AM–5PM'], dtype=object)
 array(['Thursday', '9AM–5PM'], dtype=object)
 array(['Friday', '9AM–5PM'], dtype=object)
 array(['Saturday', 'Closed'], dtype=object)
 array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', '9AM–5PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}",Closed ⋅ Opens 9AM,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c728e83932b7:0xf906f769db42b3c?authuser=-1&hl=en&gl=us
